,0
10:2FTCA_1,
10:2FTCA_2,
10:2FTCA_3,
10:2FTOH_1,
10:2FTOH_2,
10:2FTOH_3,
10:2FTUCA_1,
10:2FTUCA_2,0.054000000000000006
10:2FTUCA_3,
3:3FTCA_1,
3:3FTCA_2,
3:3FTCA_3,
4:2FTOH_1,
4:2FTOH_2,
4:2FTOH_3,-498.14200000000005
4:2FTS_1,
4:2FTS_2,
4:2FTS_3,
5:2sFTOH_1,
5:2sFTOH_2,
5:2sFTOH_3,
5:3FTCA_1,
5:3FTCA_2,
5:3FTCA_3,
6:2/8:2diPAP_1,
6:2/8:2diPAP_2,
6:2/8:2diPAP_3,
6:2diPAP_1,0.9146666666666666
6:2diPAP_2,0.5196666666666666
6:2diPAP_3,-0.3753333333333333
6:2FTCA_1,
6:2FTCA_2,
6:2FTCA_3,
6:2FTOH_1,
6:2FTOH_2,
6:2FTOH_3,
6:2FTS_1,-0.07900000000000001
6:2FTS_2,-0.129
6:2FTS_3,-0.18000000000000002
6:2FTUCA_1,
6:2FTUCA_2,
6:2FTUCA_3,
6:2PAP_1,
6:2PAP_2,
6:2PAP_3,
6:6PFPi_1,
6:6PFPi_2,
6:6PFPi_3,
6:8PFPi_1,
6:8PFPi_2,
6:8PFPi_3,
7:2sFTOH_1,
7:2sFTOH_2,
7:2sFTOH_3,
7:3FTCA_1,
7:3FTCA_2,
7:3FTCA_3,
8:2diPAP_1,
8:2diPAP_2,
8:2diPAP_3,
8:2FTCA_1,
8:2FTCA_2,
8:2FTCA_3,
8:2FTOH_1,
8:2FTOH_2,
8:2FTOH_3,
8:2FTS_1,-0.009333333333333336
8:2FTS_2,0.012666666666666666
8:2FTS_3,-0.0033333333333333357
8:2FTUCA_1,
8:2FTUCA_2,0.047333333333333324
8:2FTUCA_3,
8:2PAP_1,
8:2PAP_2,
8:2PAP_3,
8:8PFPi_1,
8:8PFPi_2,
8:8PFPi_3,
8Cl-PFOS_1,
8Cl-PFOS_2,
8Cl-PFOS_3,
Cl-PFHxPA_1,
Cl-PFHxPA_2,
Cl-PFHxPA_3,
Cl-PFOPA_1,
Cl-PFOPA_2,
Cl-PFOPA_3,
FOSA_1,
FOSA_2,
FOSA_3,
L-PFBS_1,-160.23933333333332
L-PFBS_2,-150.40533333333332
L-PFBS_3,-152.4983333333333
L-PFDOS_1,
L-PFDOS_2,-0.8314999999999984
L-PFDOS_3,
L-PFDS_1,-15.462999999999997
L-PFDS_2,130.094
L-PFDS_3,29.949
L-PFHpS_1,-1041.128666666667
L-PFHpS_2,-1283.110666666667
L-PFHpS_3,-946.309666666667
L-PFHxS_1,-1622.1863333333333
L-PFHxS_2,-2438.1883333333335
L-PFHxS_3,-1462.3673333333336
L-PFNS_1,-30.30466666666667
L-PFNS_2,143.42533333333333
L-PFNS_3,29.599333333333327
L-PFOS_1,-491.8203333333332
L-PFOS_2,-714.3463333333333
L-PFOS_3,-180.27033333333316
L-PFPES_1,-1385.8106666666663
L-PFPES_2,-1785.0816666666665
L-PFPES_3,-1495.2556666666665
"N,N-Me2FOSA_1",
"N,N-Me2FOSA_2",
"N,N-Me2FOSA_3",
N-EtFOSA_1,
N-EtFOSA_2,
N-EtFOSA_3,
N-EtFOSE_1,
N-EtFOSE_2,
N-EtFOSE_3,
N-MeFOSA_1,
N-MeFOSA_2,
N-MeFOSA_3,
N-MeFOSE_1,
N-MeFOSE_2,
N-MeFOSE_3,
PFBA_1,603.096
PFBA_2,208.98799999999997
PFBA_3,
PFDA_1,
PFDA_2,
PFDA_3,
PFDoA_1,
PFDoA_2,
PFDoA_3,
PFDPA_1,
PFDPA_2,
PFDPA_3,
PFHpA_1,-9.786333333333339
PFHpA_2,-34.48633333333334
PFHpA_3,
PFHxA_1,
PFHxA_2,
PFHxA_3,
PFHxDA_1,
PFHxDA_2,
PFHxDA_3,
PFHxPA_1,
PFHxPA_2,
PFHxPA_3,
PFNA_1,104.51800000000001
PFNA_2,162.726
PFNA_3,98.44500000000001
PFOA_1,149.25033333333334
PFOA_2,158.04733333333334
PFOA_3,152.52133333333333
PFODA_1,
PFODA_2,
PFODA_3,
PFOPA_1,
PFOPA_2,
PFOPA_3,
PFPeA_1,
PFPeA_2,
PFPeA_3,
PFTeDA_1,
PFTeDA_2,
PFTeDA_3,
PFTrDA_1,
PFTrDA_2,
PFTrDA_3,
PFUdA_1,
PFUdA_2,
PFUdA_3,
